row,original,cleaned,removed_sentences
59,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant red, styled in a straight, shoulder-length cut with a slight wave at the ends. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera with a soft gaze.  This detailed description should help distinguish this person from others based on the specific facial features and hairstyle observed in the image.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant red, styled in a straight, shoulder-length cut with a slight wave at the ends. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera with a soft gaze.",[]
60,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a subtle smile, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings, which are small and circular, adding a subtle touch of elegance to her appearance. There are no visible scars, wrinkles, or other unique facial features.  The person's overall emotional expression is neutral, with a gentle, soft gaze that appears to be directed slightly to the left of the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a subtle smile, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings, which are small and circular, adding a subtle touch of elegance to her appearance. There are no visible scars, wrinkles, or other unique facial features. The person's overall emotional expression is neutral, with a gentle, soft gaze that appears to be directed slightly to the left of the camera.",[]
62,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible accessories or unique hair designs. The overall emotional expression on her face is calm and neutral, with her gaze directed slightly to the left of the camera. There are no visible accessories such as earrings, glasses, or piercings. The person's overall appearance is clean and well-groomed, with no scars or blemishes visible on her face.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible accessories or unique hair designs. The overall emotional expression on her face is calm and neutral, with her gaze directed slightly to the left of the camera. There are no visible accessories such as earrings, glasses, or piercings. The person's overall appearance is clean and well-groomed, with no scars or blemishes visible on her face.",[]
63,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant shade of red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant shade of red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera.",[]
64,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color that could be described as a soft, warm hue. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache.  The hair is a vibrant shade of red, styled in a sleek, straight manner that falls just above the shoulders. The hairline is straight, and there are no visible partings or designs. The texture of the hair appears to be smooth and shiny. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, with a slight hint of calmness. The gaze is directed slightly to the left, giving a sense of contemplation or focus.","The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color that could be described as a soft, warm hue. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is a vibrant shade of red, styled in a sleek, straight manner that falls just above the shoulders. The hairline is straight, and there are no visible partings or designs. The texture of the hair appears to be smooth and shiny. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, with a slight hint of calmness. The gaze is directed slightly to the left, giving a sense of contemplation or focus.",[]
65,"The individual in the image has a fair skin tone with a smooth texture. The facial shape is oval, with a balanced and symmetrical bone structure. The eyes are almond-shaped, with a light color that appears to be a shade of blue or grey. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished.  The individual has light brown hair, styled in a straight, shoulder-length cut. The hairline is straight and even, with no visible parting. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a slight hint of calmness. The gaze is directed slightly to the left, giving a sense of attentiveness or contemplation.  This person's distinct features, including the almond-shaped eyes, thin eyebrows, straight nose, and straight, shoulder-length hair, contribute to a unique and recognizable appearance.","The individual in the image has a fair skin tone with a smooth texture. The facial shape is oval, with a balanced and symmetrical bone structure. The eyes are almond-shaped, with a light color that appears to be a shade of blue or grey. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished. The individual has light brown hair, styled in a straight, shoulder-length cut. The hairline is straight and even, with no visible parting. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a slight hint of calmness. The gaze is directed slightly to the left, giving a sense of attentiveness or contemplation. This person's distinct features, including the almond-shaped eyes, thin eyebrows, straight nose, and straight, shoulder-length hair, contribute to a unique and recognizable appearance.",[]
67,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a pale blue or grey. Her eyebrows are thin and neatly groomed, arching slightly over her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a deep red color, styled in a straight manner with a slight wave at the ends. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed straight ahead, with no particular focus on any object.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a pale blue or grey. Her eyebrows are thin and neatly groomed, arching slightly over her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a deep red color, styled in a straight manner with a slight wave at the ends. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed straight ahead, with no particular focus on any object.",[]
69,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is wide open in a joyful expression, revealing a set of teeth that are slightly uneven. There is no visible facial hair, and the skin appears clear and unblemished.  The individual has short, dark hair that is neatly styled, with a slight wave. The hairline is straight, and there are no visible partings or designs. The hair texture is smooth and shiny. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is one of happiness and excitement, with the gaze directed slightly upwards and to the side, giving a sense of engagement and enthusiasm.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is wide open in a joyful expression, revealing a set of teeth that are slightly uneven. There is no visible facial hair, and the skin appears clear and unblemished. The individual has short, dark hair that is neatly styled, with a slight wave. The hairline is straight, and there are no visible partings or designs. The hair texture is smooth and shiny. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is one of happiness and excitement, with the gaze directed slightly upwards and to the side, giving a sense of engagement and enthusiasm.",[]
72,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a subtle smile, showing a slight curve at the corners. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant shade of red, styled in a straight, shoulder-length cut. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, with a gentle, soft gaze directed slightly to the left of the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a subtle smile, showing a slight curve at the corners. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant shade of red, styled in a straight, shoulder-length cut. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, with a gentle, soft gaze directed slightly to the left of the camera.",[]
73,"The person in the image appears to be a young female with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a subtle smile, showing a slight curve at the corners. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant red, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is calm and neutral, with her gaze directed slightly to the left of the camera.","The person in the image appears to be a young female with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a subtle smile, showing a slight curve at the corners. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant red, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is calm and neutral, with her gaze directed slightly to the left of the camera.",[]
